Pais;lat;lon;Date;Ano;Mes;MedPr;MedT
Brazil;-27.606.930;-48.509.374;jan/01;1901;jan;237.07;25.35
Brazil;-27.606.931;-48.509.375;fev/01;1901;feb;224.39;25.52
Brazil;-27.606.932;-48.509.376;mar/01;1901;mar;240.41;25.36
Brazil;-27.606.933;-48.509.377;abr/01;1901;apr;179.01;24.73
Brazil;-27.606.934;-48.509.378;mai/01;1901;may;126.6;24.29
Brazil;-27.606.935;-48.509.379;jun/01;1901;jun;79.95;23.43
Brazil;-27.606.936;-48.509.380;jul/01;1901;jul;71.45;23.72
Brazil;-27.606.937;-48.509.381;ago/01;1901;aug;57.78;24.46
Brazil;-27.606.938;-48.509.382;set/01;1901;sep;77.85;25.36
Brazil;-27.606.939;-48.509.383;out/01;1901;oct;118.7;25.94
Brazil;-27.606.940;-48.509.384;nov/01;1901;nov;151.35;25.47
Brazil;-27.606.941;-48.509.385;dez/01;1901;dec;213.26;25.34
Brazil;-27.606.942;-48.509.386;jan/02;1902;jan;219.04;25.35
Brazil;-27.606.943;-48.509.387;fev/02;1902;feb;216.91;25.7
Brazil;-27.606.944;-48.509.388;mar/02;1902;mar;240.4;25.37
Brazil;-27.606.945;-48.509.389;abr/02;1902;apr;177.08;25.16
Brazil;-27.606.946;-48.509.390;mai/02;1902;may;125.66;24.63
Brazil;-27.606.947;-48.509.391;jun/02;1902;jun;80.39;24.09
Brazil;-27.606.948;-48.509.392;jul/02;1902;jul;63.5;23.84
Brazil;-27.606.949;-48.509.393;ago/02;1902;aug;65.29;23.72
Brazil;-27.606.950;-48.509.394;set/02;1902;sep;77.61;25.35
Brazil;-27.606.951;-48.509.395;out/02;1902;oct;127.22;25.58
Brazil;-27.606.952;-48.509.396;nov/02;1902;nov;159.86;25.94
Brazil;-27.606.953;-48.509.397;dez/02;1902;dec;210.15;25.82
Brazil;-27.606.954;-48.509.398;jan/03;1903;jan;227.39;25.32
Brazil;-27.606.955;-48.509.399;fev/03;1903;feb;215.54;25.62
Brazil;-27.606.956;-48.509.400;mar/03;1903;mar;226.59;25.56
Brazil;-27.606.957;-48.509.401;abr/03;1903;apr;174.08;24.98
Brazil;-27.606.958;-48.509.402;mai/03;1903;may;128.34;24.05
Brazil;-27.606.959;-48.509.403;jun/03;1903;jun;79.52;23.82
Brazil;-27.606.960;-48.509.404;jul/03;1903;jul;63.11;23.53
Brazil;-27.606.961;-48.509.405;ago/03;1903;aug;55.74;24.04
Brazil;-27.606.962;-48.509.406;set/03;1903;sep;76.67;25.11
Brazil;-27.606.963;-48.509.407;out/03;1903;oct;127.76;25.37
Brazil;-27.606.964;-48.509.408;nov/03;1903;nov;152.65;25.35
Brazil;-27.606.965;-48.509.409;dez/03;1903;dec;205.67;25.67
Brazil;-27.606.966;-48.509.410;jan/04;1904;jan;232.15;25.14
Brazil;-27.606.967;-48.509.411;fev/04;1904;feb;214.7;25.27
Brazil;-27.606.968;-48.509.412;mar/04;1904;mar;224.02;25.25
Brazil;-27.606.969;-48.509.413;abr/04;1904;apr;176.25;24.94
Brazil;-27.606.970;-48.509.414;mai/04;1904;may;127.16;23.7
Brazil;-27.606.971;-48.509.415;jun/04;1904;jun;80.68;23.07
Brazil;-27.606.972;-48.509.416;jul/04;1904;jul;65.08;23.45
Brazil;-27.606.973;-48.509.417;ago/04;1904;aug;58.02;23.93
Brazil;-27.606.974;-48.509.418;set/04;1904;sep;77.78;25.08
Brazil;-27.606.975;-48.509.419;out/04;1904;oct;134.14;25.31
Brazil;-27.606.976;-48.509.420;nov/04;1904;nov;150.6;25.49
Brazil;-27.606.977;-48.509.421;dez/04;1904;dec;200.36;25.3
